Kiribati	GDP per capita (current US$)	1641.195669
St. Kitts and Nevis	GDP per capita (current US$)	13642.4956
"Korea, Rep."	GDP per capita (current US$)	24453.97135
Kosovo	GDP per capita (current US$)	3600.887
Kuwait	GDP per capita (current US$)	50896.49814
Latin America & Caribbean (developing only)	GDP per capita (current US$)	9067.375881
Lao PDR	GDP per capita (current US$)	1445.86945
Lebanon	GDP per capita (current US$)	9729.282193
Liberia	GDP per capita (current US$)	414.1851554
Libya	GDP per capita (current US$)	13035.1922
St. Lucia	GDP per capita (current US$)	7201.430171
Latin America & Caribbean (all income levels)	GDP per capita (current US$)	9998.70571
Least developed countries: UN classification	GDP per capita (current US$)	850.8646497
Low income	GDP per capita (current US$)	581.4202855
Liechtenstein	GDP per capita (current US$)	149160.7581
Sri Lanka	GDP per capita (current US$)	2921.65956
Lower middle income	GDP per capita (current US$)	1881.922894
Low & middle income	GDP per capita (current US$)	3942.104143
Lesotho	GDP per capita (current US$)	1158.794394
Lithuania	GDP per capita (current US$)	14333.24742
Luxembourg	GDP per capita (current US$)	106022.7991
Latvia	GDP per capita (current US$)	14031.79587
"Macao SAR, China"	GDP per capita (current US$)	77079.1733
St. Martin (French part)	GDP per capita (current US$)	0
Morocco	GDP per capita (current US$)	2860.926086
Monaco	GDP per capita (current US$)	0
Moldova	GDP per capita (current US$)	2046.536787
Madagascar	GDP per capita (current US$)	444.9585005
Maldives	GDP per capita (current US$)	7350.394182
Middle East & North Africa (all income levels)	GDP per capita (current US$)	8716.466954
Mexico	GDP per capita (current US$)	9721.062644
Marshall Islands	GDP per capita (current US$)	3500.725367
Middle income	GDP per capita (current US$)	4328.681695
"Macedonia, FYR"	GDP per capita (current US$)	4709.516545
Mali	GDP per capita (current US$)	641.7937185
Malta	GDP per capita (current US$)	21176.30998
Myanmar	GDP per capita (current US$)	1421.497351
Middle East & North Africa (developing only)	GDP per capita (current US$)	4809.794568
Montenegro	GDP per capita (current US$)	6519.186971
Mongolia	GDP per capita (current US$)	4377.23887
Northern Mariana Islands	GDP per capita (current US$)	0
Mozambique	GDP per capita (current US$)	580.3604716
Mauritania	GDP per capita (current US$)	1282.785101
Mauritius	GDP per capita (current US$)	9110.805399
Malawi	GDP per capita (current US$)	270.0875313
Malaysia	GDP per capita (current US$)	10507.79278
North America	GDP per capita (current US$)	51590.14658
Namibia	GDP per capita (current US$)	5681.587887
New Caledonia	GDP per capita (current US$)	0
Niger	GDP per capita (current US$)	393.643423
Nigeria	GDP per capita (current US$)	2739.852189
Nicaragua	GDP per capita (current US$)	1779.867088
Netherlands	GDP per capita (current US$)	49128.08727
High income: nonOECD	GDP per capita (current US$)	19096.87827
Norway	GDP per capita (current US$)	101563.7027
Nepal	GDP per capita (current US$)	685.4967586
New Zealand	GDP per capita (current US$)	39573.81053
High income: OECD	GDP per capita (current US$)	42906.04388
OECD members	GDP per capita (current US$)	37774.70109
Oman	GDP per capita (current US$)	21533.8076
Other small states	GDP per capita (current US$)	4787.735145
Pakistan	GDP per capita (current US$)	1266.380758
Panama	GDP per capita (current US$)	10138.52113
Peru	GDP per capita (current US$)	6388.758458
Philippines	GDP per capita (current US$)	2606.196984
Palau	GDP per capita (current US$)	10397.75803
Papua New Guinea	GDP per capita (current US$)	2151.16037
Poland	GDP per capita (current US$)	13036.37665
Puerto Rico	GDP per capita (current US$)	27752.04274
"Korea, Dem. Rep."	GDP per capita (current US$)	0
Portugal	GDP per capita (current US$)	20577.40643
Paraguay	GDP per capita (current US$)	3855.572185
Pacific island small states	GDP per capita (current US$)	3480.857445
French Polynesia	GDP per capita (current US$)	0
Qatar	GDP per capita (current US$)	94236.13495
Romania	GDP per capita (current US$)	8445.29664
Russian Federation	GDP per capita (current US$)	14078.83057
Rwanda	GDP per capita (current US$)	667.4145823
South Asia	GDP per capita (current US$)	1369.003695
Saudi Arabia	GDP per capita (current US$)	24883.18971
Sudan	GDP per capita (current US$)	1662.307027
Senegal	GDP per capita (current US$)	1019.27223
Singapore	GDP per capita (current US$)	54578.17678
Solomon Islands	GDP per capita (current US$)	1866.707246
Sierra Leone	GDP per capita (current US$)	627.0099848
El Salvador	GDP per capita (current US$)	3921.720395
San Marino	GDP per capita (current US$)	0
Somalia	GDP per capita (current US$)	0
Serbia	GDP per capita (current US$)	5659.380204
Sub-Saharan Africa (developing only)	GDP per capita (current US$)	1684.243692
South Sudan	GDP per capita (current US$)	944.2977748
Sub-Saharan Africa (all income levels)	GDP per capita (current US$)	1701.903998
Small states	GDP per capita (current US$)	5781.047918
Sao Tome and Principe	GDP per capita (current US$)	1475.361659
Suriname	GDP per capita (current US$)	9484.765064
Slovak Republic	GDP per capita (current US$)	17151.37028
Slovenia	GDP per capita (current US$)	22488.65889
Sweden	GDP per capita (current US$)	57134.07707
Swaziland	GDP per capita (current US$)	3053.19578
Sint Maarten (Dutch part)	GDP per capita (current US$)	0
Seychelles	GDP per capita (current US$)	12844.82928
Syrian Arab Republic	GDP per capita (current US$)	0
Turks and Caicos Islands	GDP per capita (current US$)	0
